llparte,CodAcc2,aaaa,mes,dia,dia_mes,hora,horarecode,Ncod_canton,Ncod_distrito,NX_WGS84,NY_WGS84,lugar_hechos,Total_Involucrados,dano_ileso_sum,dano_leve_sum,dano_grave_sum,dano_muerto_sum
2014-249500250,Colisión con motocicleta,2014,Noviembre,Jueves,27,5,00:00-05:59,Heredia,Ulloa,-84.11253,9.964971665,Heredia-Heredia-Ulloa LA VALENCIA 25M SUR DE DUNBART INTERNACIONAL,2,1,1,0,0
2014-249500269,Colisión con motocicleta,2014,Diciembre,Viernes,19,23,18:00-23:59,Heredia,San Francisco,-84.1104653,9.97972761,Heredia-Heredia-San Francisco FRENTE FABRICA NACIONAL DE CHOCOLATE,2,1,0,1,0
2014-252800031,Colisión con motocicleta,2014,Febrero,Lunes,10,21,18:00-23:59,Heredia,Heredia,-84.11501833,9.997859999,Heredia-Heredia-Heredia de la iglesia el carmen 100 al norte,2,1,1,0,0
2014-252800043,Colisión con motocicleta,2014,Febrero,Miércoles,19,18,18:00-23:59,Heredia,Ulloa,-84.12955833,9.968576666,Heredia-Heredia-Ulloa 200 este de la universidad nacional,2,1,1,0,0
2014-252800049,Colisión con motocicleta,2014,Febrero,Domingo,23,13,12:00-17:59,Heredia,Heredia,-84.11413333,10.00052667,Heredia-Heredia-Heredia del gimnacio 100 este,2,1,1,0,0
2014-252800054,Colisión con motocicleta,2014,Marzo,Domingo,2,15,12:00-17:59,Heredia,Heredia,-84.121695,9.997674998,Heredia-Heredia-Heredia costado sur de la escuela moya,2,1,1,0,0
2014-252800072,Colisión con motocicleta,2014,Marzo,Viernes,21,21,18:00-23:59,Heredia,Heredia,-84.12348333,9.996889996,Heredia-Heredia-Heredia de la bomba casaque 150 este,2,1,1,0,0
2014-252800127,Colisión con motocicleta,2014,Julio,Miércoles,2,11,06:00-11:59,Heredia,Mercedes,-84.14011667,10.00242334,Heredia-Heredia-Mercedes frente a la ferreteria Enilda  en mercedez sur,2,1,1,0,0
2014-252800141,Colisión con motocicleta,2014,Julio,Viernes,18,10,06:00-11:59,Heredia,Heredia,-84.11841667,9.995753333,Heredia-Belén-La Rivera del tunel de la firestone 400 oeste,2,1,1,0,0
2014-252800149,Colisión con motocicleta,2014,Julio,Lunes,28,16,12:00-17:59,Heredia,Heredia,-84.11376,10.00507166,Heredia-Flores-Llorente frente a florida costa rica  o del lagar 300 norte,2,0,2,0,0
2014-252800162,Colisión con motocicleta,2014,Agosto,Viernes,15,13,12:00-17:59,Heredia,San Francisco,-84.13173667,9.996138332,Heredia-Heredia-San Francisco de la escuela de san francisco 25 oeste,4,2,2,0,0
2014-252800223,Colisión con motocicleta,2014,Noviembre,Lunes,3,9,06:00-11:59,Heredia,San Francisco,-84.152735,9.989695003,Heredia-Heredia-San Francisco Aurora del templo catolico 200 oeste en el cruce,2,0,2,0,0
2014-253000030,Colisión con motocicleta,2014,Noviembre,Jueves,13,13,12:00-17:59,Heredia,Heredia,-84.11923333,10.00105667,Heredia-Heredia-Heredia De la Cruz Roja 300 metros al oeste,2,1,0,1,0
2014-253100014,Colisión con motocicleta,2014,Enero,Martes,28,18,18:00-23:59,Heredia,Ulloa,-84.12960333,9.987431666,Heredia-Heredia-Ulloa FRENTE A FERRETERIA EL AGUILA,2,1,1,0,0
2014-253100023,Colisión con motocicleta,2014,Febrero,Sábado,15,11,06:00-11:59,Heredia,San Francisco,-84.13005333,9.99322667,Heredia-Heredia-San Francisco FRENTE A BOMBA NASA,2,1,1,0,0
2014-253100069,Colisión con motocicleta,2014,Abril,Jueves,10,12,12:00-17:59,Heredia,Ulloa,-84.16111167,9.981026665,Heredia-Heredia-Ulloa INGRESO DE RUTA 1 REAL CARIARI,2,1,0,1,0
2014-253100072,Colisión con motocicleta,2014,Abril,Martes,15,19,18:00-23:59,Heredia,Heredia,-84.119125,10.00352167,Heredia-Barva-Barva RUTA 3 FRENTE A LA ATLAS,2,1,1,0,0
2014-253100087,Colisión con motocicleta,2014,Mayo,Sábado,17,15,12:00-17:59,Heredia,Heredia,-84.12183,9.996706667,Heredia-Heredia-Heredia DIAGONAL A BODEGAS DEL BANCO NACIONAL,2,1,0,1,0
2014-253100096,Colisión con motocicleta,2014,Mayo,Jueves,29,11,06:00-11:59,Heredia,San Francisco,-84.11382167,9.971805002,Heredia-Heredia-San Francisco LOS LAGOS,2,1,1,0,0
2014-253100102,Colisión con motocicleta,2014,Junio,Martes,10,7,06:00-11:59,Heredia,Ulloa,-84.12993667,9.987031669,Heredia-Heredia-Ulloa 400 OESTE AM PM BARREAL,2,1,1,0,0
2014-315300103,Colisión con motocicleta,2014,Setiembre,Viernes,26,19,18:00-23:59,Heredia,San Francisco,-84.143275,9.998173333,Heredia-Heredia-San Francisco RUTA 3 FRENTE POLLLO A LA LEÑA EL CARBONCITO,2,1,1,0,0
2014-315300110,Colisión con motocicleta,2014,Octubre,Miércoles,1,8,06:00-11:59,Heredia,San Francisco,-84.16233333,9.990955001,Heredia-Heredia-San Francisco FRENTE ZONA FRANCA AMERICA,2,1,1,0,0
2014-315300120,Colisión con motocicleta,2014,Octubre,Miércoles,15,8,06:00-11:59,Heredia,San Francisco,-84.109585,9.985070001,Heredia-Heredia-San Francisco FRENTE UNIVERSIDAD LATINA,3,2,1,0,0
2014-315300132,Colisión con motocicleta,2014,Octubre,Martes,28,7,06:00-11:59,Heredia,San Francisco,-84.13571515,9.991654974,Heredia-Heredia-San Francisco DEL BAR LA DEPORTIVA 125 MTS AL OESTE SANTA CECIL,3,2,1,0,0
2014-315300163,Colisión con motocicleta,2014,Noviembre,Miércoles,26,15,12:00-17:59,Heredia,Mercedes,-84.1277,10.00325,Heredia-Heredia-Mercedes FRENTE CEMENTERIO DE MERCEDES NORTE,2,1,1,0,0
2014-315300184,Colisión con motocicleta,2014,Diciembre,Martes,9,12,12:00-17:59,Heredia,San Francisco,-84.11369833,9.972556667,Heredia-Heredia-San Francisco ENTRADA PRINCIPAL DE LOS LAGOS,3,1,2,0,0
2014-316900045,Colisión con motocicleta,2014,Octubre,Martes,7,18,18:00-23:59,Heredia,Ulloa,-84.14615833,9.979091665,Heredia-Heredia-Ulloa FRENTE A METRO PARK,2,1,1,0,0
2014-316900060,Colisión con motocicleta,2014,Octubre,Martes,21,21,18:00-23:59,Heredia,Mercedes,-84.13780333,9.998853337,Heredia-Heredia-Mercedes FRENTE A BAR LA PALMA,2,1,1,0,0
2014-316900061,Colisión con motocicleta,2014,Octubre,Miércoles,22,17,12:00-17:59,Heredia,Ulloa,-84.1208,9.988594997,Heredia-Heredia-Ulloa DETRAS DEL HOSPITAL DE HEREDIA,2,1,1,0,0
2014-316900070,Colisión con motocicleta,2014,Octubre,Viernes,31,7,06:00-11:59,Heredia,Ulloa,-84.13998833,9.973796666,Heredia-Heredia-Ulloa 300M SUR DEL SUPER CHARLIE,2,1,1,0,0
2014-316900084,Colisión con motocicleta,2014,Noviembre,Martes,25,7,06:00-11:59,Heredia,Heredia,-84.115925,9.997926667,Heredia-Heredia-Heredia AV 2 C 1 COSTADO ESTE DE LOS TRIBUNALES,2,1,1,0,0
2014-38100004,Colisión con motocicleta,2014,Mayo,Jueves,8,18,18:00-23:59,Heredia,Ulloa,-84.15764833,9.982685003,Heredia-Heredia-Ulloa la aurora frente a estacion de servicio uno,3,2,1,0,0
2014-39200027,Colisión con motocicleta,2014,Noviembre,Viernes,7,10,06:00-11:59,Heredia,Ulloa,-84.13829,9.96930833,Heredia-Heredia-Ulloa Ruta N1 Salida del Castella,2,1,1,0,0
2014-4100581,Colisión con motocicleta,2014,Setiembre,Viernes,26,19,18:00-23:59,Heredia,San Francisco,-84.14220387,9.991479659,San José-Montes de Oca-San Pedro 50 ESTE  U FIDELITAS,3,2,1,0,0
2014-43900007,Colisión con motocicleta,2014,Enero,Miércoles,8,9,06:00-11:59,Heredia,San Francisco,-84.14651382,9.992214303,Heredia-Heredia-San Francisco HEREDIA SAN FRANCISCO  25 OESTE  MINI SUPER SAN F,3,2,1,0,0
2014-43900065,Colisión con motocicleta,2014,Marzo,Sábado,1,20,18:00-23:59,Heredia,Ulloa,-84.15343755,9.97572984,Heredia-Belén-Asuncion DE LA ENTRADA DE LOS ARCOS 200 NORTE,2,1,1,0,0
